name,type,description,equations_used_in
k_O4_O3_forty,"AB40 Oligomer","Backward rate: AB40 oligomer size 4 to 3","AB40_Monomer, AB40_Oligomer03, AB40_Oligomer04"
k_O4_O3_fortytwo,"AB42 Oligomer","Backward rate: AB42 oligomer size 4 to 3","AB42_Monomer, AB42_Oligomer03, AB42_Oligomer04"
k_O4_O5_forty,"AB40 Oligomer","Forward rate: AB40 oligomer size 4 to 5","AB40_Monomer, AB40_Oligomer04, AB40_Oligomer05"
k_O4_O5_fortytwo,"AB42 Oligomer","Forward rate: AB42 oligomer size 4 to 5","AB42_Monomer, AB42_Oligomer04, AB42_Oligomer05"
k_O5_O4_forty,"AB40 Oligomer","Backward rate: AB40 oligomer size 5 to 4","AB40_Monomer, AB40_Oligomer04, AB40_Oligomer05"
k_O5_O4_fortytwo,"AB42 Oligomer","Backward rate: AB42 oligomer size 5 to 4","AB42_Monomer, AB42_Oligomer04, AB42_Oligomer05"
k_O5_O6_forty,"AB40 Oligomer","Forward rate: AB40 oligomer size 5 to 6","AB40_Monomer, AB40_Oligomer05, AB40_Oligomer06"
k_O5_O6_fortytwo,"AB42 Oligomer","Forward rate: AB42 oligomer size 5 to 6","AB42_Monomer, AB42_Oligomer05, AB42_Oligomer06"
k_O6_O5_forty,"AB40 Oligomer","Backward rate: AB40 oligomer size 6 to 5","AB40_Monomer, AB40_Oligomer05, AB40_Oligomer06"
k_O6_O5_fortytwo,"AB42 Oligomer","Backward rate: AB42 oligomer size 6 to 5","AB42_Monomer, AB42_Oligomer05, AB42_Oligomer06"
k_O6_O7_forty,"AB40 Oligomer","Forward rate: AB40 oligomer size 6 to 7","AB40_Monomer, AB40_Oligomer06, AB40_Oligomer07"
k_O6_O7_fortytwo,"AB42 Oligomer","Forward rate: AB42 oligomer size 6 to 7","AB42_Monomer, AB42_Oligomer06, AB42_Oligomer07"
k_O7_O6_forty,"AB40 Oligomer","Backward rate: AB40 oligomer size 7 to 6","AB40_Monomer, AB40_Oligomer06, AB40_Oligomer07"
k_O7_O6_fortytwo,"AB42 Oligomer","Backward rate: AB42 oligomer size 7 to 6","AB42_Monomer, AB42_Oligomer06, AB42_Oligomer07"
k_O7_O8_forty,"AB40 Oligomer","Forward rate: AB40 oligomer size 7 to 8","AB40_Monomer, AB40_Oligomer07, AB40_Oligomer08"
k_O7_O8_fortytwo,"AB42 Oligomer","Forward rate: AB42 oligomer size 7 to 8","AB42_Monomer, AB42_Oligomer07, AB42_Oligomer08"
k_O8_O7_forty,"AB40 Oligomer","Backward rate: AB40 oligomer size 8 to 7","AB40_Monomer, AB40_Oligomer07, AB40_Oligomer08"
k_O8_O7_fortytwo,"AB42 Oligomer","Backward rate: AB42 oligomer size 8 to 7","AB42_Monomer, AB42_Oligomer07, AB42_Oligomer08"
k_O8_O9_forty,"AB40 Oligomer","Forward rate: AB40 oligomer size 8 to 9","AB40_Monomer, AB40_Oligomer08, AB40_Oligomer09"
k_O8_O9_fortytwo,"AB42 Oligomer","Forward rate: AB42 oligomer size 8 to 9","AB42_Monomer, AB42_Oligomer08, AB42_Oligomer09"
k_O9_O10_forty,"AB40 Oligomer","Forward rate: AB40 oligomer size 9 to 10","AB40_Monomer, AB40_Oligomer09, AB40_Oligomer10"
k_O9_O10_fortytwo,"AB42 Oligomer","Forward rate: AB42 oligomer size 9 to 10","AB42_Monomer, AB42_Oligomer09, AB42_Oligomer10"
k_O9_O8_forty,"AB40 Oligomer","Backward rate: AB40 oligomer size 9 to 8","AB40_Monomer, AB40_Oligomer08, AB40_Oligomer09"
k_O9_O8_fortytwo,"AB42 Oligomer","Backward rate: AB42 oligomer size 9 to 8","AB42_Monomer, AB42_Oligomer08, AB42_Oligomer09"
