Year,ISF_Monomers_pg_ml
21.015625, 26456.14035087719
29.921875, 27971.929824561397
39.921875, 30049.12280701754
49.99999999999999, 32631.578947368413
60.07812499999999, 35663.15789473683
67.1875, 31957.8947368421
68.4375, 27971.929824561397
69.375, 23929.824561403504
70.078125, 19943.859649122805
70.78125, 15901.754385964912
71.71875, 11971.929824561405
73.125, 7985.964912280702
80, 4729.824561403504
90.078125, 4449.122807017542
99.6875, 4505.26315789474
