Year,Plasma_Ratio
20.884520884520885, 0.1352054794520548
25.20884520884521, 0.13600456621004567
31.203931203931205, 0.13712328767123289
35.23341523341523, 0.13808219178082193
41.42506142506143, 0.13968036529680367
46.24078624078624, 0.1412785388127854
50.565110565110565, 0.14207762557077627
55.675675675675684, 0.14335616438356166
59.21375921375922, 0.14399543378995436
62.85012285012286, 0.143675799086758
64.52088452088452, 0.14159817351598175
66.1916461916462, 0.1382420091324201
67.37100737100738, 0.13360730593607306
67.96068796068796, 0.1297716894977169
68.55036855036855, 0.12593607305936075
68.94348894348894, 0.12242009132420092
69.43488943488944, 0.11746575342465754
70.02457002457004, 0.1128310502283105
70.41769041769042, 0.10771689497716896
71.3022113022113, 0.0995662100456621
72.48157248157248, 0.09205479452054795
74.25061425061426, 0.08646118721461186
76.41277641277642, 0.08342465753424658
78.47665847665849, 0.08166666666666667
81.81818181818183, 0.07910958904109588
83.98034398034399, 0.07735159817351599
86.73218673218673, 0.07527397260273971
90.46683046683047, 0.07191780821917808
93.80835380835381, 0.06888127853881278
96.75675675675676, 0.066324200913242
99.41031941031942, 0.06376712328767123
