,AB40_Monomer,AB42_Monomer,AB40_Oligomer,AB42_Oligomer,AB40_Fibril,AB42_Fibril,AB40_Plaque,AB42_Plaque
Combined Master,273.01639311979045,5.771304024018894,6604.501968313321,1954.9725403688403,9490.384166748303,2722.1206953791007,54.14139276518696,61.28213382810447
ODE Version,273.01639324986604,5.7713043196819145,6604.501964374818,1954.972433753558,9490.384161372924,2722.1205459967923,54.14139283978456,61.28212400464698
