,AB40_Monomer,AB42_Monomer,AB40_Oligomer,AB42_Oligomer,AB40_Fibril,AB42_Fibril,AB40_Plaque,AB42_Plaque,AB40_CSF_pg_mL,AB42_CSF_pg_mL
Tellurium,269.6540598070683,5.7244535650274155,6570.392274866885,1920.7149531431696,9634.510208929296,2743.605300509069,830.7327221200921,914.9564735177876,370249.6237266071,7860.7243738008965
Diffrax/JAX,273.01639325043004,5.771304319687507,6604.501964355124,1954.9724337510502,9490.384161347665,2722.1205459943944,54.141392839776806,61.28212400457951,374866.2907723194,7925.053170729421
